Timestamp                       Thread     Type        Activity             PID    TTL  
2026-05-21 14:15:19.610250-0500 0x1851dd   Default     0x0                  36112  0    App: (WebKit) [com.apple.WebKit:PerformanceLogging] WebContent[36118]: PerformanceMonitor::measurePostLoadCPUUsage: Process was using 0.1% CPU after the page load.
2026-05-21 14:15:26.602409-0500 0x185156   Default     0x0                  36112  5    App: (CoreServices) [com.apple.launchservices:db] NotifyToken::RegisterDispatch(com.apple.LaunchServices.database) fired for session key LSSessionKey(system: 0 uid: 501)
2026-05-21 14:15:28.279707-0500 0x185147   Default     0x0                  36112  0    App: (UIKitCore) [com.apple.UIKit:AppLifecycle] sceneOfRecord: sceneID: sceneID:com.barnabassoftware.pastoralcare.messaging-default  persistentID: ECD4AB71-E492-4A02-98DE-9F06FAD8D62B
2026-05-21 14:15:30.323978-0500 0x185b52   Default     0x0                  36684  0    App: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-05-21 14:15:30.324571-0500 0x185b67   Default     0x0                  36684  0    App: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-05-21 14:15:30.324582-0500 0x185b66   Default     0x0                  36684  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x103638920] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-05-21 14:15:30.325243-0500 0x185b67   Default     0x0                  36684  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x103628000] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-05-21 14:15:30.326185-0500 0x185b66   Activity    0x7fb990             36684  0    App: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2026-05-21 14:15:30.328110-0500 0x185b65   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-05-21 14:15:30.328151-0500 0x185b65   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-05-21 14:15:30.328223-0500 0x185b65   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x10363e3f0>
2026-05-21 14:15:30.328341-0500 0x185b65   Default     0x0                  36684  0    App: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-05-21 14:15:30.328389-0500 0x185b65   Default     0x0                  36684  0    App: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-05-21 14:15:30.328425-0500 0x185b6a   Default     0x0                  36684  0    App: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-05-21 14:15:30.328503-0500 0x185b6a   Default     0x0                  36684  0    App: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-05-21 14:15:30.328515-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-05-21 14:15:30.328524-0500 0x185b6a   Default     0x0                  36684  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x103d94280] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2026-05-21 14:15:30.328694-0500 0x185b52   Default     0x0                  36684  0    App: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2026-05-21 14:15:30.328816-0500 0x185b52   Default     0x0                  36684  0    App: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2026-05-21 14:15:30.329717-0500 0x185b66   Activity    0x7fb991             36684  0    App: (RunningBoardServices) didChangeInheritances
2026-05-21 14:15:30.329969-0500 0x185b52   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
2026-05-21 14:15:30.330010-0500 0x185b6a   Default     0x0                  36684  0    App: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2026-05-21 14:15:30.330035-0500 0x185b6a   Default     0x0                  36684  0    App: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<com.barnabassoftware.pastoralcare.messaging((null))>
2026-05-21 14:15:30.330331-0500 0x185b65   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x10363e3f0>
2026-05-21 14:15:30.330412-0500 0x185b65   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x103c94f00>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 64331 (elapsed = 0).
2026-05-21 14:15:30.330532-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2026-05-21 14:15:30.330710-0500 0x185b52   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace connected to endpoint : <BSServiceConnectionEndpoint: 0x103d309a0; target: com.apple.frontboard.systemappservices; service: com.apple.frontboard.workspace-service>
2026-05-21 14:15:30.330871-0500 0x185b52   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x103d20c80 com.apple.frontboard.systemappservices> attempting immediate handshake from activate
2026-05-21 14:15:30.330928-0500 0x185b52   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x103d20c80 com.apple.frontboard.systemappservices> sent handshake
2026-05-21 14:15:30.331146-0500 0x185b52   Default     0x0                  36684  0    App: (RunningBoardServices) [com.apple.runningboard:general] Added observer for process assertions expiration warning: <_RBSExpirationWarningClient: 0x103d30cc0>
2026-05-21 14:15:30.331365-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
2026-05-21 14:15:30.331671-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneInterfaceProtectionSettings> on FBSSceneSettings
2026-05-21 14:15:30.331937-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneLayoutPreferencesHostSettingsExtension on FBSSceneSettings
2026-05-21 14:15:30.332041-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneSafeAreaSettingsExtension on FBSSceneSettings
2026-05-21 14:15:30.332452-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneLayoutPreferenceClientSettingsExtension on FBSSceneClientSettings
2026-05-21 14:15:30.332667-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2026-05-21 14:15:30.332798-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2026-05-21 14:15:30.333166-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2026-05-21 14:15:30.333471-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneRenderingEnvironmentClientSettings> on FBSSceneClientSettings
2026-05-21 14:15:30.333544-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneTransitioningHostSettings> on FBSSceneSettings
2026-05-21 14:15:30.333756-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneFocusSystemSettings> on FBSSceneSettings
2026-05-21 14:15:30.333882-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneOrientationSettingsExtension on FBSSceneSettings
2026-05-21 14:15:30.334021-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneOrientationClientSettingsExtension on FBSSceneClientSettings
2026-05-21 14:15:30.334187-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneWindowingControlClientSettings on FBSSceneClientSettings
2026-05-21 14:15:30.334196-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x103d94500> for initial
2026-05-21 14:15:30.334314-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingContentSizePreferenceClientSettings> on FBSSceneClientSettings
2026-05-21 14:15:30.334482-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneHostingTraitCollectionPropagationSettings on FBSSceneSettings
2026-05-21 14:15:30.334518-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x103d94500> for CADisplay KVO
2026-05-21 14:15:30.334889-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationSettings> on FBSSceneSettings
2026-05-21 14:15:30.335033-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationClientSettings> on FBSSceneClientSettings
2026-05-21 14:15:30.335230-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingEventDeferringSettings> on FBSSceneSettings
2026-05-21 14:15:30.335622-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneSettings
2026-05-21 14:15:30.335845-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneClientSettings
2026-05-21 14:15:30.335972-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingViewControllerPreferencePropagationClientSettings> on FBSSceneClientSettings
2026-05-21 14:15:30.336184-0500 0x185b52   Default     0x0                  36684  0    App: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 1, category name = (null)
2026-05-21 14:15:30.336527-0500 0x185b65   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneZoomTransitionSettings> on FBSSceneSettings
2026-05-21 14:15:30.336693-0500 0x185b52   Default     0x0                  36684  0    App: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 0, category name = (null)
2026-05-21 14:15:30.337107-0500 0x185b6b   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneSettingsCore on FBSSceneSettings
2026-05-21 14:15:30.337638-0500 0x185b6b   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneClientSettingsCore on FBSSceneClientSettings
2026-05-21 14:15:30.342845-0500 0x185b52   Default     0x0                  36684  0    App: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] Registering for test daemon availability notify post.
2026-05-21 14:15:30.342940-0500 0x185b6b   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneSettings setting counterpart class: UIApplicationSceneSettings
2026-05-21 14:15:30.343068-0500 0x185b52   Default     0x0                  36684  0    App: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2026-05-21 14:15:30.343160-0500 0x185b52   Default     0x0                  36684  0    App: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2026-05-21 14:15:30.343230-0500 0x185b6b   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneClientSettings setting counterpart class: UIApplicationSceneClientSettings
2026-05-21 14:15:30.343245-0500 0x185b52   Default     0x0                  36684  0    App: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2026-05-21 14:15:30.343338-0500 0x185b6b   Default     0x0                  36684  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneTransitionContextCore on FBSSceneTransitionContext
2026-05-21 14:15:30.344016-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:UpdateScheduler] Selected display: name=LCD (PurpleMain), id=1
2026-05-21 14:15:30.344940-0500 0x185b52   Default     0x0                  36684  0    App: (libapp_launch_measurement.dylib) [com.apple.app_launch_measurement:ApplicationLaunch] alm_acquire_pageins_recording_assertion: acquired pageins recording assertion!
2026-05-21 14:15:30.345616-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 5; deactivation reasons: 1024 -> 1056; animating application lifecycle event: 1
2026-05-21 14:15:30.345851-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x10363feb0> (ECD4AB71-E492-4A02-98DE-9F06FAD8D62B)
2026-05-21 14:15:30.345921-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Should send trait collection or coordinate space update, interface style 1 -> 1, <UIWindowScene: 0x10363feb0> (ECD4AB71-E492-4A02-98DE-9F06FAD8D62B)
2026-05-21 14:15:30.346404-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x10363feb0> (ECD4AB71-E492-4A02-98DE-9F06FAD8D62B)
2026-05-21 14:15:30.346492-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:HomeAffordanceObservation] Initializing: <_UIHomeAffordanceSceneNotifier: 0x103e78fc0>; with scene: <UIWindowScene: 0x10363feb0>
2026-05-21 14:15:30.346566-0500 0x185b52   Default     0x0                  36684  0    App: (BacklightServices) [com.apple.BacklightServices:scenes] 0x103e016e0 setDelegate:<0x103e019e0 _UIBacklightEnvironment> hasDelegate:YES for environment:sceneID:com.barnabassoftware.pastoralcare.messaging-default
2026-05-21 14:15:30.346835-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x10363feb0> (ECD4AB71-E492-4A02-98DE-9F06FAD8D62B)
2026-05-21 14:15:30.346884-0500 0x185b52   Default     0x0                  36684  1    App: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x103e78000] Initialized with scene: <UIWindowScene: 0x10363feb0>; behavior: <_UIEventDeferringBehavior_iOS: 0x103d31720>; availableForProcess: 1, systemShellManagesKeyboardFocus: 1
2026-05-21 14:15:30.347038-0500 0x185b52   Default     0x0                  36684  0    App: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:2] Alloc com.apple.backboard.hid-services.xpc
2026-05-21 14:15:30.347078-0500 0x185b52   Default     0x0                  36684  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x103d94dc0] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-05-21 14:15:30.348352-0500 0x185b6b   Default     0x0                  36684  0    App: (BackBoardServices) [com.apple.BackBoard:EventDelivery] BKSHIDEventObserver - connection activation
2026-05-21 14:15:30.348382-0500 0x185b52   Default     0x0                  36684  0    App: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x103df63a0; process scope; status: target> was:none
2026-05-21 14:15:30.348418-0500 0x185b52   Default     0x0                  36684  1    App: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to LastOneWins
2026-05-21 14:15:30.348449-0500 0x185b52   Default     0x0                  36684  1    App: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene target of keyboard event deferring environment did change: 1; scene: UIWindowScene: 0x10363feb0; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.barnabassoftware.pastoralcare.messaging-default
2026-05-21 14:15:30.348483-0500 0x185b52   Default     0x0                  36684  1    App: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x103e78000] Scene target of event deferring environments did update: scene: 0x10363feb0; current systemShellManagesKeyboardFocus: 1; systemShellManagesKeyboardFocusForScene: 1; eligibleForRecordRemoval: 1;
2026-05-21 14:15:30.348502-0500 0x185b52   Default     0x0                  36684  1    App: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene became target of keyboard event deferring environment: UIWindowScene: 0x10363feb0; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.barnabassoftware.pastoralcare.messaging-default
2026-05-21 14:15:30.348523-0500 0x185b52   Default     0x0                  36684  1    App: (UIKitCore) [com.apple.UIKit:KeyWindow] Stack[KeyWindow] 0x103e01ec0: Taking no further action for migration from LastOneWins -> SystemShellManaged as there are no scenes
2026-05-21 14:15:30.348540-0500 0x185b52   Default     0x0                  36684  1    App: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to SystemShellManaged
2026-05-21 14:15:30.348573-0500 0x185b52   Default     0x0                  36684  1    App: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window needs update: 0; currentKeyWindowScene: 0x0; evaluatedKeyWindowScene: 0x10363feb0; currentApplicationKeyWindow: 0x0; evaluatedApplicationKeyWindow: 0x0; reason: UIWindowScene: 0x10363feb0: Window scene became target of keyboard environment
2026-05-21 14:15:30.348683-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x10363feb0> (ECD4AB71-E492-4A02-98DE-9F06FAD8D62B)
2026-05-21 14:15:30.348837-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x10363feb0> (ECD4AB71-E492-4A02-98DE-9F06FAD8D62B)
2026-05-21 14:15:30.349596-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x10363feb0> (ECD4AB71-E492-4A02-98DE-9F06FAD8D62B)
2026-05-21 14:15:30.349715-0500 0x185b52   Fault       0x7fb992             36684  14   App: (UIKitCore) [com.apple.runtime-issues:UIKit App Config] `UIScene` lifecycle will soon be required. Failure to adopt will result in an assert in the future.
2026-05-21 14:15:30.349716-0500 0x185b52   Activity    0x7fb992             36684  0    App: (libsystem_trace.dylib) Activity for state dumps
2026-05-21 14:15:30.349876-0500 0x185b52   Default     0x0                  36684  0    App: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x10363feb0> (ECD4AB71-E492-4A02-98DE-9F06FAD8D62B)
