Filtering the log data using "process == "App""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-05-21 14:34:46.061385-0500 0x18d4e3   Default     0x0                  40165  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x101667ea0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-05-21 14:34:46.061719-0500 0x18d4dc   Default     0x0                  40165  0    App: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-05-21 14:34:46.061802-0500 0x18d4e4   Default     0x0                  40165  0    App: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-05-21 14:34:46.062074-0500 0x18d4e4   Default     0x0                  40165  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x101658000] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-05-21 14:34:46.062599-0500 0x18d4e3   Activity    0x81d710             40165  0    App: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2026-05-21 14:34:46.063531-0500 0x18d4e2   Default     0x0                  40165  0    App: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-05-21 14:34:46.063561-0500 0x18d4e2   Default     0x0                  40165  0    App: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-05-21 14:34:46.063958-0500 0x18d4e2   Default     0x0                  40165  0    App: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x10166be80>
2026-05-21 14:34:46.063996-0500 0x18d4e2   Default     0x0                  40165  0    App: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-05-21 14:34:46.064025-0500 0x18d4e2   Default     0x0                  40165  0    App: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-05-21 14:34:46.064044-0500 0x18d4e3   Default     0x0                  40165  0    App: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-05-21 14:34:46.064077-0500 0x18d4e3   Default     0x0                  40165  0    App: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-05-21 14:34:46.064087-0500 0x18d4e3   Default     0x0                  40165  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x101d84280] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2026-05-21 14:34:46.064538-0500 0x18d4e8   Activity    0x81d711             40165  0    App: (RunningBoardServices) didChangeInheritances
2026-05-21 14:34:46.064984-0500 0x18d4e3   Default     0x0                  40165  0    App: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2026-05-21 14:34:46.065002-0500 0x18d4e3   Default     0x0                  40165  0    App: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<com.barnabassoftware.pastoralcare.messaging((null))>
2026-05-21 14:34:46.065184-0500 0x18d4e2   Default     0x0                  40165  0    App: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x10166be80>
2026-05-21 14:34:46.065278-0500 0x18d4e2   Default     0x0                  40165  0    App: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x101c947c0>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 65487 (elapsed = 0).
2026-05-21 14:34:46.065284-0500 0x18d4dc   Default     0x0                  40165  0    App: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-05-21 14:34:46.065344-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2026-05-21 14:34:46.065678-0500 0x18d4dc   Default     0x0                  40165  0    App: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2026-05-21 14:34:46.065763-0500 0x18d4dc   Default     0x0                  40165  0    App: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2026-05-21 14:34:46.066363-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
2026-05-21 14:34:46.066440-0500 0x18d4dc   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
2026-05-21 14:34:46.066565-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneInterfaceProtectionSettings> on FBSSceneSettings
2026-05-21 14:34:46.066730-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneLayoutPreferencesHostSettingsExtension on FBSSceneSettings
2026-05-21 14:34:46.066853-0500 0x18d4dc   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace connected to endpoint : <BSServiceConnectionEndpoint: 0x101d38580; target: com.apple.frontboard.systemappservices; service: com.apple.frontboard.workspace-service>
2026-05-21 14:34:46.066859-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneSafeAreaSettingsExtension on FBSSceneSettings
2026-05-21 14:34:46.066895-0500 0x18d4dc   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x101d04c80 com.apple.frontboard.systemappservices> attempting immediate handshake from activate
2026-05-21 14:34:46.066920-0500 0x18d4dc   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x101d04c80 com.apple.frontboard.systemappservices> sent handshake
2026-05-21 14:34:46.066992-0500 0x18d4dc   Default     0x0                  40165  0    App: (RunningBoardServices) [com.apple.runningboard:general] Added observer for process assertions expiration warning: <_RBSExpirationWarningClient: 0x101d38ec0>
2026-05-21 14:34:46.067003-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneLayoutPreferenceClientSettingsExtension on FBSSceneClientSettings
2026-05-21 14:34:46.067119-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2026-05-21 14:34:46.067200-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2026-05-21 14:34:46.067364-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2026-05-21 14:34:46.067511-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneRenderingEnvironmentClientSettings> on FBSSceneClientSettings
2026-05-21 14:34:46.067625-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneTransitioningHostSettings> on FBSSceneSettings
2026-05-21 14:34:46.067721-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneFocusSystemSettings> on FBSSceneSettings
2026-05-21 14:34:46.067808-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneOrientationSettingsExtension on FBSSceneSettings
2026-05-21 14:34:46.067842-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneOrientationClientSettingsExtension on FBSSceneClientSettings
2026-05-21 14:34:46.067972-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneWindowingControlClientSettings on FBSSceneClientSettings
2026-05-21 14:34:46.068054-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingContentSizePreferenceClientSettings> on FBSSceneClientSettings
2026-05-21 14:34:46.068137-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneHostingTraitCollectionPropagationSettings on FBSSceneSettings
2026-05-21 14:34:46.068386-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationSettings> on FBSSceneSettings
2026-05-21 14:34:46.068449-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationClientSettings> on FBSSceneClientSettings
2026-05-21 14:34:46.068559-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingEventDeferringSettings> on FBSSceneSettings
2026-05-21 14:34:46.068664-0500 0x18d4dc   Default     0x0                  40165  0    App: (UIKitCore) [com.apple.UIKit:UIScreen] Evaluated capturing state as 0 on <UIScreen: 0x101d84500> for initial
2026-05-21 14:34:46.068740-0500 0x18d4e2   Default     0x0                  40165  0    App: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneSettings
